품사,단어,합계,0. 序幕 — 問 하늘에 묻다_v99,1. 공리_v99,2. 허실_v99,3. 극한과 무한_v99,4. 곡률_v99,5. 대칭_v99,6. 불완전성_v99,7. 운동_v99,8. 장_v99,9. 동시성_v99,10. 휨_v99,11. 엔트로피_v99,12. 혼돈_v99,13. 양자_v99,14. 파동과 확률_v99,15. 불확정성_v99,16. 경로_v99,17. 얽힘_v99,18. 측정_v99,19. 깨짐_v99,20. 입자_v99,21. 빅뱅_v99,22. 암흑_v99,23. 초끈_v99,24. 다중우주_v99,25. 원자_v99,26. 결합_v99,27. 문턱_v99,28. 핵_v99,29. 세포_v99,30. 진화_v99,31. 뇌_v99,32. 의식_v99,33. 정보_v99,34. 계산_v99,35. 인공지능_v99,36. 양자계산_v99,37. 시간_v99,38. 실재_v99,39. 인식_v99,40. 의지_v99,41. 이성_v99,42. 해체_v99,43. 경계_v99,44. 침묵_v99,45. 음계_v99,46. 산조_v99,47. 시_v99,48. 비극_v99,49. 미술_v99,50. 건축_v99,51. 우주_v99,52. 공존_v99,53. 인간_v99,"54. 終幕 — 答 다시, 하늘에 묻다_v99"
연결어미,지만,125,0,4,1,2,1,4,2,2,2,4,3,3,4,1,2,3,1,2,0,2,2,1,2,2,1,4,2,1,3,3,3,2,3,2,2,0,1,4,5,3,3,1,2,2,4,4,2,3,3,5,3,1,1,1,1
일반명사,안,124,0,1,1,4,5,3,5,1,4,5,8,2,4,4,1,2,1,5,3,1,6,0,1,1,1,2,2,4,1,3,0,2,3,2,2,0,1,4,0,1,2,5,0,0,3,1,4,2,0,0,6,2,2,0,1
형용사,있,121,5,5,0,9,3,0,2,5,1,0,0,5,1,2,4,1,2,3,2,2,0,2,0,5,4,3,0,3,0,2,0,1,2,4,11,0,3,1,1,2,3,2,0,3,2,4,0,3,0,1,1,2,1,2,1
접속조사,와,120,1,1,1,2,2,4,3,3,10,1,0,1,1,0,0,8,1,1,2,0,6,3,3,2,1,3,4,1,2,2,3,3,3,3,0,4,0,4,1,1,2,1,1,4,0,2,1,3,1,1,5,2,3,2,1
형용사,같,120,0,6,0,3,2,5,2,4,3,7,2,2,6,0,1,0,3,2,0,0,6,3,3,1,2,2,3,1,1,4,2,1,2,5,4,3,2,3,2,4,0,3,1,1,6,3,0,0,1,0,0,2,0,0,1
명사형어미,ᆷ,117,0,1,0,3,0,3,1,1,3,0,7,2,1,1,1,7,0,3,4,11,2,2,1,5,3,1,7,0,0,1,0,2,2,0,3,0,2,0,2,2,0,0,3,0,2,8,6,1,1,5,0,2,1,2,2
일반명사,빛,114,0,0,0,0,0,1,0,0,14,12,9,0,0,14,6,4,0,2,1,2,1,6,7,1,1,0,0,0,4,0,1,1,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,5,9,5,1,1,0
동사,보이,112,0,0,1,1,4,5,2,2,8,0,5,0,2,1,1,1,3,0,1,4,2,3,8,10,0,3,1,1,1,1,5,0,1,0,1,2,2,0,2,0,1,1,5,1,2,1,1,0,1,5,5,3,0,1,1
관형사형어미,을,111,2,5,2,5,3,1,2,2,2,2,0,0,5,2,0,1,2,8,3,3,1,2,0,1,3,1,3,2,4,2,1,2,2,1,5,2,1,2,4,1,2,1,1,2,3,2,2,2,0,0,0,3,0,3,0
일반명사,시간,110,1,0,4,3,0,3,0,2,0,12,3,8,4,0,0,5,0,1,0,0,0,6,1,2,0,0,0,0,0,1,0,3,2,0,0,0,2,22,1,0,0,0,0,0,1,0,11,1,6,3,0,1,1,0,0
일반명사,존재,109,1,1,4,4,1,1,2,2,0,1,2,1,0,1,3,5,2,2,3,0,0,1,4,1,5,3,0,2,0,1,2,1,1,1,2,0,0,3,7,3,5,1,4,6,3,1,1,0,0,0,0,7,4,4,0
일반명사,자리,109,1,3,0,2,0,5,2,1,2,0,3,2,3,0,0,1,2,2,0,0,5,4,0,1,1,3,5,2,0,0,2,3,2,0,4,4,0,1,2,2,3,5,4,5,3,1,1,3,1,3,1,2,1,4,2
연결어미,며,108,2,2,2,1,1,1,0,1,1,2,2,2,4,2,0,3,1,3,5,4,1,1,2,1,1,0,4,1,4,4,5,4,0,2,1,0,1,2,1,2,0,3,2,1,0,5,4,0,3,2,3,2,6,1,0
동사,보,100,2,0,1,1,3,2,0,1,3,2,3,4,0,1,2,6,2,0,3,2,2,1,0,3,0,0,0,1,1,1,1,2,4,0,2,1,0,4,5,2,2,1,5,2,0,1,0,0,1,9,1,2,1,3,4
일반명사,계산,100,0,0,4,1,0,2,0,5,1,0,1,0,2,3,1,0,6,0,2,0,0,1,1,0,0,0,2,0,1,0,0,0,2,0,19,3,28,1,2,0,1,0,0,0,5,0,0,0,0,0,1,2,0,3,0
접속부사,그러나,99,2,0,5,4,2,3,3,2,3,2,2,4,1,3,4,2,1,2,4,3,1,3,1,1,0,0,1,1,4,4,3,1,3,0,1,1,1,2,2,3,2,2,1,0,1,2,3,1,1,0,0,0,0,0,1
관형사형어미,라는,98,2,1,4,0,3,4,0,1,2,5,0,0,2,4,1,0,1,1,0,1,0,2,2,0,3,2,3,0,0,3,1,3,4,2,4,2,0,2,1,6,2,2,5,7,3,0,0,0,2,0,0,1,2,2,0
보격조사,가,95,0,1,6,0,4,3,0,0,1,2,4,1,1,2,2,3,1,2,0,1,3,1,2,2,4,2,1,0,1,3,3,2,1,5,1,1,4,0,3,2,1,1,3,2,4,1,0,0,2,3,1,1,0,0,1
명사파생접미사,성,94,0,1,0,0,0,2,3,0,0,3,1,2,3,2,4,6,3,0,6,3,2,3,0,2,1,0,3,1,2,3,1,1,0,4,3,2,5,3,2,2,3,3,0,3,1,1,1,1,1,0,0,1,0,0,0
의존명사,년,93,1,4,1,1,0,4,1,2,2,0,3,3,1,3,3,1,2,4,1,3,3,6,2,3,0,3,0,3,5,2,6,1,0,0,0,2,0,2,3,0,0,0,1,0,0,0,0,4,0,0,0,4,1,2,0
일반명사,전자,92,0,0,0,0,0,0,0,0,0,0,0,0,1,6,22,6,7,0,11,0,9,0,1,1,1,10,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
관형사,두,90,0,5,0,0,2,2,1,2,6,4,3,0,3,3,3,1,3,7,5,0,2,0,2,1,0,0,7,0,2,1,0,1,0,2,1,0,1,1,2,0,0,4,0,4,1,4,0,2,1,0,1,0,0,0,0
관형사,다른,89,1,0,2,0,2,1,0,0,5,2,0,0,5,5,2,2,1,2,0,2,0,3,1,3,7,2,1,1,3,1,2,1,1,2,2,2,1,1,3,1,0,1,2,2,5,1,0,0,1,0,1,2,1,1,2
일반명사,인간,88,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,1,2,0,0,2,0,7,2,4,0,2,8,1,5,2,2,6,6,0,2,1,2,1,0,3,1,3,2,1,12,1
일반명사,세계,87,2,0,5,0,1,2,1,3,0,0,1,1,2,4,0,3,2,1,7,1,2,0,0,4,0,0,1,1,1,0,2,5,1,1,1,0,1,1,12,6,1,0,4,4,1,0,0,0,0,0,1,0,0,0,1
대명사,그,85,0,4,0,3,0,3,0,5,2,1,0,5,1,4,1,3,1,2,1,1,0,3,0,1,0,3,1,0,2,2,3,0,1,1,5,1,1,3,5,1,3,1,1,0,3,0,0,1,4,0,0,0,0,0,2
일반명사,위,85,0,4,4,4,4,1,1,1,0,0,6,4,0,0,0,0,0,0,1,2,2,1,0,2,1,1,2,2,1,2,0,3,1,0,1,1,6,5,0,2,1,5,0,2,1,2,1,1,0,1,3,3,0,0,0
일반명사,때,83,1,4,2,1,5,2,1,2,0,2,1,0,3,1,2,0,2,0,1,1,1,1,0,1,1,2,8,0,4,1,1,4,1,2,1,5,0,1,1,1,1,1,2,1,1,4,1,2,0,1,0,1,0,1,0
일반명사,공간,82,0,3,0,0,9,1,0,2,8,5,4,0,0,0,3,2,2,0,0,0,1,12,3,5,5,0,0,0,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,5,2,1,1,0,0
관형사형어미,다는,81,3,0,1,2,3,2,7,2,1,0,1,0,2,2,5,0,0,1,0,1,0,2,1,1,4,0,0,1,1,1,3,0,3,0,0,2,1,3,3,0,1,3,2,2,2,3,0,2,2,1,0,0,0,1,3
일반명사,자신,81,0,3,1,1,2,1,7,0,0,1,0,0,0,2,1,1,2,0,0,1,0,1,1,0,0,1,0,2,1,5,4,1,2,2,5,0,0,0,1,3,10,3,0,0,3,0,0,3,0,2,1,1,2,3,1
연결어미,어야,79,0,1,0,1,1,1,3,2,1,8,1,2,0,4,1,4,2,1,1,1,2,2,4,1,2,1,0,2,0,1,0,0,0,3,0,4,3,1,2,2,0,1,1,0,3,1,1,0,1,0,0,2,2,2,0
일반명사,언어,78,1,1,2,8,3,2,4,0,0,0,2,0,0,6,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,2,2,3,0,1,4,1,2,0,0,6,2,1,2,15,0,0,1,0,0,0,0,0,1,1
부사격조사,처럼,77,1,2,2,3,0,3,0,1,2,1,0,0,2,3,3,1,2,0,2,1,1,1,0,2,2,2,1,0,0,3,3,1,1,0,0,2,1,1,1,2,1,0,0,1,1,4,4,2,0,2,2,4,1,1,1
일반명사,자연,77,0,0,3,0,1,9,0,3,0,0,3,2,0,5,2,2,4,2,1,1,2,0,0,0,1,3,2,7,1,1,2,1,0,0,0,0,7,0,1,0,0,2,1,0,0,2,2,0,0,1,0,0,1,0,2
일반명사,입자,77,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,0,0,16,6,11,18,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
동사,만들,75,0,0,0,1,1,0,0,0,4,0,3,3,2,0,0,0,2,1,0,1,0,0,2,0,0,1,4,9,3,1,4,3,2,1,0,1,1,1,0,2,0,0,2,0,3,3,1,1,0,1,3,3,1,4,0
일반명사,순간,74,0,1,1,2,0,1,0,2,1,2,0,1,2,1,0,2,1,1,3,1,1,0,0,0,0,0,2,1,5,2,2,7,6,1,0,0,3,1,1,1,1,2,2,2,3,0,1,1,1,2,1,0,0,2,1
의존명사,때문,74,0,0,0,2,4,3,2,1,0,5,2,2,0,1,2,2,2,0,1,0,2,4,1,1,1,0,2,0,0,3,1,2,0,1,0,1,0,2,0,1,2,2,2,1,1,3,2,2,2,1,0,1,1,2,1
일반부사,다시,72,1,0,1,6,2,0,3,0,1,1,1,3,2,1,0,0,0,0,1,2,0,1,1,1,0,2,2,1,1,5,1,1,3,2,0,0,1,1,0,2,2,1,0,1,1,1,1,3,2,2,1,2,3,2,0
관형사,모든,72,0,2,1,3,1,0,1,2,1,2,1,2,1,2,0,1,8,2,0,4,2,2,1,0,2,0,0,2,0,1,2,0,0,0,5,1,3,1,3,2,0,2,0,1,0,2,0,1,0,2,1,0,1,1,0
일반명사,상태,71,1,0,0,0,0,0,0,1,2,1,1,5,1,0,3,2,0,4,4,5,3,4,1,1,1,0,5,1,0,1,0,0,1,7,0,0,4,0,1,2,0,0,1,6,0,0,1,0,1,0,0,0,0,0,0
부사격조사,보다,71,0,2,2,5,2,2,0,1,0,1,1,2,0,0,0,1,0,1,1,0,0,4,4,3,0,1,5,2,7,0,3,2,1,2,1,3,1,2,1,0,0,0,1,1,1,0,0,2,0,0,3,0,0,0,0
