어휘,품사,전체 빈도
간격,일반명사,4
기초,일반명사,4
토대,일반명사,4
자연수,일반명사,4
번호,일반명사,4
물러나,동사,4
꿈꾸,동사,4
파고들,동사,4
거울,일반명사,4
붙이,동사,4
건드리,동사,4
여백,일반명사,4
죽음,일반명사,4
뜻밖,일반명사,4
자기,일반명사,4
나가,동사,4
사,동사,4
최소,일반명사,4
막,일반명사,4
거품,일반명사,4
메시지,일반명사,4
잉크,일반명사,4
볼츠만,고유명사,4
당대,일반명사,4
비판,일반명사,4
반면,일반명사,4
기울기,일반명사,4
되돌리,동사,4
원인,일반명사,4
균일,일반명사,4
잡음,일반명사,4
라플라스,고유명사,4
소수점,일반명사,4
임계점,일반명사,4
수준,일반명사,4
되풀이,일반명사,4
효과,일반명사,4
대기,일반명사,4
부산,고유명사,4
동일,일반명사,4
맞추,동사,4
주장,일반명사,4
절대,일반명사,4
번개,일반명사,4
뮤,고유명사,4
온,일반명사,4
자석,일반명사,4
곁,일반명사,4
격자,일반명사,4
일렁이,동사,4
깃들,동사,4
실험실,일반명사,4
옳,형용사,4
그때,일반명사,4
망원경,일반명사,4
구분,일반명사,4
동등,일반명사,4
사방,일반명사,4
주위,일반명사,4
까닭,일반명사,4
가스,일반명사,4
무한대,일반명사,4
정적,일반명사,4
출렁이,동사,4
펼쳐지,동사,4
근거,일반명사,4
상쇄,일반명사,4
겨울,일반명사,4
분포,일반명사,4
흘리,동사,4
안드로메다,고유명사,4
경쟁,일반명사,4
대부분,일반명사,4
장비,일반명사,4
정지,일반명사,4
틈새,일반명사,4
요동,일반명사,4
파괴,일반명사,4
교환,일반명사,4
운명,일반명사,4
숨기,동사,4
빚,동사,4
변수,일반명사,4
가속기,일반명사,4
구름,일반명사,4
낙관,일반명사,4
뒤흔들,동사,4
붉,형용사,4
치명,일반명사,4
진짜,일반명사,4
섞이,동사,4
기름,일반명사,4
모드,일반명사,4
아,일반명사,4
요구,일반명사,4
구현,일반명사,4
태초,일반명사,4
지금,일반명사,4
경계선,일반명사,4
고르,형용사,4
데이터,일반명사,4
동료,일반명사,4
렌즈,일반명사,4
덩어리,일반명사,4
속성,일반명사,4
성분,일반명사,4
기울,동사,4
액체,일반명사,4
신비,일반명사,4
가져오,동사,4
섭취,일반명사,4
분리,일반명사,4
지형,일반명사,4
양성자,일반명사,4
우라늄,일반명사,4
자,일반명사,4
핵분열,일반명사,4
감당,일반명사,4
설계자,일반명사,4
다윈,고유명사,4
동물,일반명사,4
하중,일반명사,4
철학자,일반명사,4
글자,일반명사,4
처리,일반명사,4
상황,일반명사,4
그늘,일반명사,4
객관,일반명사,4
호흡,일반명사,4
타인,일반명사,4
유전,일반명사,4
대화,일반명사,4
지,동사,4
도깨비,일반명사,4
비,일반명사,4
기능,일반명사,4
법,일반명사,4
배우,동사,4
불교,일반명사,4
주파수,일반명사,4
산조,일반명사,4
토지,고유명사,4
예술,일반명사,4
파국,일반명사,4
원근법,일반명사,4
화가,일반명사,4
기둥,일반명사,4
봉합,일반명사,4
비끼,동사,4
아치,일반명사,4
올려다보,동사,4
행,일반명사,4
시험,일반명사,3
유기,일반명사,3
모으,동사,3
그치,동사,3
지식,일반명사,3
건축물,일반명사,3
연장,일반명사,3
규정,일반명사,3
등가,일반명사,3
오랫동안,일반명사,3
카르다노,고유명사,3
쓸모,일반명사,3
외면,일반명사,3
허구,일반명사,3
발판,일반명사,3
응시,일반명사,3
반전,일반명사,3
전류,일반명사,3
가두,동사,3
박히,동사,3
유령,일반명사,3
도입,일반명사,3
계단,일반명사,3
계속,일반명사,3
심연,일반명사,3
얇,형용사,3
들어맞,동사,3
움직임,일반명사,3
나뉘,동사,3
파헤치,동사,3
짝,일반명사,3
견디,동사,3
따라가,동사,3
꼬리,일반명사,3
지평선,일반명사,3
여정,일반명사,3
풍요,일반명사,3
지평,일반명사,3
균형,일반명사,3
변환,일반명사,3
갈루아,고유명사,3
밤,일반명사,3
친구,일반명사,3
열쇠,일반명사,3
담기,동사,3
발밑,일반명사,3
북쪽,일반명사,3
시각,일반명사,3
형상,일반명사,3
맺,동사,3
보편,일반명사,3
왜곡,일반명사,3
맺히,동사,3
표면,일반명사,3
순수,일반명사,3
오후,일반명사,3
번지,동사,3
분석,일반명사,3
입증,일반명사,3
산,일반명사,3
내려오,동사,3
앞뒤,일반명사,3
가리,동사,3
들리,동사,3
정밀도,일반명사,3
높이,동사,3
증폭,일반명사,3
예,일반명사,3
시작점,일반명사,3
다듬,동사,3
기상,일반명사,3
